backend,frame_idx,capture_ok,cap_ms,infer_ms,tile_ms,loop_ms,fps
dxgi,0,1,59.9106,95.9646,38.4372,161.7871,6.1810
dxgi,1,1,48.7574,97.4524,38.4131,151.0966,6.6183
dxgi,2,1,53.8838,94.6315,37.6275,153.8400,6.5003
dxgi,3,1,55.2417,99.2427,40.4389,159.4408,6.2719
dxgi,4,1,48.0566,94.1630,36.9337,147.3871,6.7849
dxgi,5,1,44.5988,92.4360,36.2076,141.7854,7.0529
dxgi,6,1,51.3355,94.5312,36.8699,151.4630,6.6023
dxgi,7,1,49.6811,95.1377,37.2167,150.1398,6.6605
dxgi,8,1,47.9835,95.7605,38.8373,148.7210,6.7240
dxgi,9,1,47.4751,92.9738,35.7376,145.6995,6.8634
dxgi,10,1,53.9786,92.7990,36.3254,152.9683,6.5373
dxgi,11,1,48.8168,95.1181,37.0473,148.8562,6.7179
dxgi,12,1,51.3510,97.7808,38.3209,154.5047,6.4723
dxgi,13,1,62.0231,98.6145,37.8176,166.0017,6.0240
dxgi,14,1,52.1672,96.1333,37.2268,153.6982,6.5063
dxgi,15,1,54.8754,99.6145,39.3318,159.9034,6.2538
dxgi,16,1,57.8488,96.9733,38.4515,159.5930,6.2659
dxgi,17,1,54.0273,98.1741,37.5703,157.7970,6.3373
dxgi,18,1,48.0041,100.9725,37.6126,154.4331,6.4753
dxgi,19,1,55.4803,93.4127,36.7536,154.4539,6.4744
dxgi,20,1,45.0381,94.3888,36.6442,144.4603,6.9223
dxgi,21,1,63.2571,99.2409,38.8449,170.2770,5.8728
dxgi,22,1,53.4463,98.7248,38.5891,157.3749,6.3543
dxgi,23,1,49.1047,97.4426,37.9983,151.2916,6.6098
dxgi,24,1,48.5453,95.7340,36.9566,148.8479,6.7183
dxgi,25,1,49.8086,99.2689,39.8884,153.7248,6.5051
dxgi,26,1,54.5896,98.3662,38.1222,158.2091,6.3207
dxgi,27,1,48.6550,98.3876,38.0964,152.5275,6.5562
dxgi,28,1,48.9146,97.9507,36.9287,152.5959,6.5533
dxgi,29,1,47.3557,98.8432,36.8922,151.2277,6.6125
dxgi,30,1,47.5454,95.8075,36.6417,148.2298,6.7463
dxgi,31,1,47.6635,95.0095,37.5611,147.7034,6.7703
dxgi,32,1,52.2687,98.7860,37.2905,156.2315,6.4008
dxgi,33,1,43.6298,98.0293,38.7930,147.1097,6.7976
dxgi,34,1,45.9130,97.7450,36.9667,149.8819,6.6719
dxgi,35,1,49.7274,95.9904,37.1901,151.3402,6.6076
dxgi,36,1,52.1024,98.6430,39.0002,155.9591,6.4119
dxgi,37,1,55.9166,96.2724,37.4481,157.2524,6.3592
dxgi,38,1,50.0372,97.1097,38.6260,152.0076,6.5786
dxgi,39,1,48.6052,94.6579,37.3944,148.3550,6.7406
dxgi,40,1,50.3334,95.4189,37.4968,150.8797,6.6278
dxgi,41,1,48.1309,95.3474,37.4144,149.2642,6.6995
dxgi,42,1,46.8843,97.4105,37.9031,149.7016,6.6800
dxgi,43,1,61.4357,97.3657,37.9446,164.4086,6.0824
dxgi,44,1,44.5151,100.2619,38.4395,150.4975,6.6446
gdi,0,1,48.4271,95.5722,37.6237,149.0559,6.7089
gdi,1,1,47.4766,95.5378,37.0519,147.7389,6.7687
gdi,2,1,48.8241,94.4923,36.9006,148.3715,6.7398
gdi,3,1,54.7575,95.0124,36.9914,155.2709,6.4404
gdi,4,1,42.2816,97.1024,38.7136,144.9461,6.8991
gdi,5,1,50.5578,97.8825,37.8687,153.1580,6.5292
gdi,6,1,47.1299,94.6802,36.5750,146.5815,6.8221
gdi,7,1,50.0676,92.6961,36.3917,147.6865,6.7711
gdi,8,1,44.0515,97.3779,37.6093,146.3296,6.8339
gdi,9,1,49.5693,94.4276,38.5066,149.2698,6.6993
gdi,10,1,54.2778,95.5213,37.5135,155.2983,6.4392
gdi,11,1,47.8555,92.7387,37.9884,146.6394,6.8194
gdi,12,1,50.9735,95.4704,37.0542,151.6741,6.5931
gdi,13,1,50.0031,95.7986,38.8237,151.6911,6.5923
gdi,14,1,51.2808,95.6546,38.0340,152.7422,6.5470
gdi,15,1,51.1876,91.5831,35.7533,147.9823,6.7576
gdi,16,1,50.2425,93.3723,36.3627,148.9283,6.7146
gdi,17,1,44.2864,99.2254,37.1548,148.9160,6.7152
gdi,18,1,50.2110,92.3646,36.3571,149.2274,6.7012
gdi,19,1,50.2552,98.5045,37.1080,155.4998,6.4309
gdi,20,1,47.0823,92.8458,36.2692,145.3487,6.8800
gdi,21,1,46.6561,95.3582,36.8355,147.1448,6.7960
gdi,22,1,46.2553,94.8074,37.0422,146.4535,6.8281
gdi,23,1,53.2796,92.3190,36.5108,150.6168,6.6394
gdi,24,1,51.4904,97.6259,37.5984,154.3744,6.4778
gdi,25,1,50.7173,92.9206,36.9261,149.0930,6.7072
gdi,26,1,52.1291,94.7850,37.0343,152.5676,6.5545
gdi,27,1,49.7001,92.9307,37.6269,148.1124,6.7516
gdi,28,1,43.7230,96.8006,37.7219,146.3724,6.8319
gdi,29,1,51.3488,95.0503,37.9624,152.8045,6.5443
gdi,30,1,58.6206,92.8401,35.8190,156.4546,6.3916
gdi,31,1,50.8254,93.4118,36.9738,149.2796,6.6988
gdi,32,1,48.5999,93.1259,37.2776,146.6328,6.8198
gdi,33,1,45.7752,95.0183,37.4275,145.4713,6.8742
gdi,34,1,49.1063,94.1810,37.1424,148.0717,6.7535
gdi,35,1,52.7501,95.6626,36.4632,153.1779,6.5284
gdi,36,1,50.9985,93.8317,39.0688,149.6639,6.6816
gdi,37,1,51.1067,96.1573,36.5413,152.6362,6.5515
gdi,38,1,55.0169,95.0842,38.7631,155.0124,6.4511
gdi,39,1,54.9605,95.4970,39.5305,156.0229,6.4093
gdi,40,1,63.2521,97.4655,38.5704,165.9999,6.0241
gdi,41,1,65.1399,96.7147,37.8005,167.0530,5.9861
gdi,42,1,47.9781,99.2100,38.2711,152.1649,6.5718
gdi,43,1,54.3300,95.7297,38.1429,156.1289,6.4050
gdi,44,1,57.9747,100.3076,38.6949,163.8905,6.1016
pil,0,1,30.2282,76.8695,30.4869,112.3903,8.8976
pil,1,1,29.9866,74.1249,33.3218,110.6270,9.0394
pil,2,1,25.3741,72.2381,30.2871,102.7517,9.7322
pil,3,1,26.0008,84.3331,40.9383,114.9695,8.6980
pil,4,1,32.3536,80.3053,31.9181,119.0379,8.4007
pil,5,1,43.2779,74.4183,31.3566,122.7509,8.1466
pil,6,1,31.8610,82.3815,30.6207,119.5697,8.3633
pil,7,1,32.3262,75.9274,31.0551,113.8325,8.7848
pil,8,1,28.1647,74.1906,33.9770,108.3543,9.2290
pil,9,1,28.0434,71.1065,29.0678,105.0038,9.5235
pil,10,1,25.7152,74.7705,28.5406,105.6837,9.4622
pil,11,1,32.0661,71.6934,32.9479,108.8840,9.1841
pil,12,1,25.6443,70.0068,28.0821,100.5626,9.9441
pil,13,1,27.0108,73.3965,29.1615,106.2624,9.4107
pil,14,1,28.1834,75.6600,33.2539,110.1311,9.0801
pil,15,1,27.1137,74.3619,30.4420,107.4923,9.3030
pil,16,1,42.7630,90.0918,40.2832,141.4081,7.0717
pil,17,1,30.8906,74.1101,31.8463,110.1447,9.0790
pil,18,1,27.9397,73.8865,32.5080,108.4812,9.2182
pil,19,1,25.6790,75.6611,28.5892,106.9614,9.3492
pil,20,1,29.2768,74.3721,30.5750,109.3838,9.1421
pil,21,1,30.3759,72.7358,31.4614,108.9785,9.1761
pil,22,1,27.2953,74.5178,28.9406,107.5371,9.2991
pil,23,1,29.4371,82.9619,37.7508,117.5575,8.5065
pil,24,1,25.5979,72.4221,28.7420,103.4213,9.6692
pil,25,1,27.1470,75.0864,30.0614,106.8098,9.3624
pil,26,1,25.1758,73.3908,34.5592,103.7808,9.6357
pil,27,1,29.8419,72.6226,28.5918,107.4963,9.3026
pil,28,1,23.2632,73.5771,28.8181,101.6655,9.8362
pil,29,1,29.2091,79.2102,35.4477,116.2318,8.6035
pil,30,1,25.8858,73.3814,29.2184,104.5611,9.5638
pil,31,1,26.9959,74.9419,29.1876,107.1678,9.3312
pil,32,1,26.5807,70.1942,32.1245,102.4152,9.7642
pil,33,1,25.1807,71.4691,26.8592,101.7172,9.8312
