backend,frame_idx,capture_ok,src_w,src_h,target_w,target_h,cap_ms,infer_ms,tile_ms,loop_ms,fps
dxgi,0,1,2002,1101,2618,1440,51.0360,97.4001,38.1698,154.3925,6.4770
dxgi,1,1,2002,1101,2618,1440,48.6123,98.1520,37.4958,156.0500,6.4082
dxgi,2,1,2002,1101,2618,1440,53.8996,97.0910,40.8582,160.7080,6.2225
dxgi,3,1,2002,1101,2618,1440,60.4008,103.0826,40.8792,172.8781,5.7844
dxgi,4,1,2002,1101,2618,1440,61.6992,103.6976,39.4277,171.9270,5.8164
dxgi,5,1,2002,1101,2618,1440,53.7364,112.8752,40.7831,173.6508,5.7587
dxgi,6,1,2002,1101,2618,1440,72.5859,120.6703,48.6010,202.9858,4.9265
dxgi,7,1,2002,1101,2618,1440,55.3170,117.3971,45.5213,179.9030,5.5586
dxgi,8,1,2002,1101,2618,1440,48.7106,111.2177,43.6715,166.8738,5.9926
dxgi,9,1,2002,1101,2618,1440,50.3734,102.5260,41.8834,159.5146,6.2690
dxgi,10,1,2002,1101,2618,1440,52.1431,103.0907,38.9725,161.4696,6.1931
dxgi,11,1,2002,1101,2618,1440,53.7898,101.2906,39.3165,161.6098,6.1877
dxgi,12,1,2002,1101,2618,1440,47.9832,103.6692,39.0763,159.6837,6.2624
dxgi,13,1,2002,1101,2618,1440,50.6556,99.7412,40.1926,159.0785,6.2862
dxgi,14,1,2002,1101,2618,1440,48.8273,100.3384,40.8427,156.1791,6.4029
dxgi,15,1,2002,1101,2618,1440,50.6689,100.7017,40.0235,159.5802,6.2664
dxgi,16,1,2002,1101,2618,1440,49.4322,101.4177,41.1311,156.7663,6.3789
dxgi,17,1,2002,1101,2618,1440,50.2883,106.4096,40.5812,165.5652,6.0399
dxgi,18,1,2002,1101,2618,1440,54.1962,150.4763,44.7405,211.6987,4.7237
dxgi,19,1,2002,1101,2618,1440,48.2835,121.8336,47.2378,176.2097,5.6751
dxgi,20,1,2002,1101,2618,1440,58.3067,118.7275,50.1341,185.1389,5.4014
dxgi,21,1,2002,1101,2618,1440,61.4311,107.8009,44.2893,176.4945,5.6659
dxgi,22,1,2002,1101,2618,1440,54.8789,109.2003,41.9256,171.1928,5.8414
dxgi,23,1,2002,1101,2618,1440,58.4780,106.7776,40.7011,171.6841,5.8247
dxgi,24,1,2002,1101,2618,1440,58.3734,104.6587,42.8362,168.2266,5.9444
dxgi,25,1,2002,1101,2618,1440,54.7481,102.7105,40.2534,163.1053,6.1310
dxgi,26,1,2002,1101,2618,1440,56.1395,107.2858,40.1711,169.5911,5.8965
dxgi,27,1,2002,1101,2618,1440,50.2545,99.3246,42.4462,163.2138,6.1269
dxgi,28,1,2002,1101,2618,1440,58.6519,101.6012,41.6600,167.9905,5.9527
dxgi,29,1,2002,1101,2618,1440,52.9616,99.1131,41.5949,159.3925,6.2738
gdi,0,1,2002,1101,2618,1440,55.8817,108.4537,44.9879,191.7771,5.2144
gdi,1,1,2002,1101,2618,1440,40.2145,113.0877,49.4049,156.9731,6.3705
gdi,2,1,2002,1101,2618,1440,44.4175,102.4465,43.4614,151.3851,6.6057
gdi,3,1,2002,1101,2618,1440,42.0158,95.9161,42.7630,142.6631,7.0095
gdi,4,1,2002,1101,2618,1440,40.0661,114.4331,40.3441,159.8246,6.2569
gdi,5,1,2002,1101,2618,1440,72.9818,113.2946,40.9917,193.7236,5.1620
gdi,6,1,2002,1101,2618,1440,47.1768,110.2604,45.8555,163.9749,6.0985
gdi,7,1,2002,1101,2618,1440,47.6265,102.6668,41.3901,155.1928,6.4436
gdi,8,1,2002,1101,2618,1440,51.3029,99.3526,40.3339,158.3825,6.3138
gdi,9,1,2002,1101,2618,1440,50.7723,97.1292,39.6932,153.5648,6.5119
gdi,10,1,2002,1101,2618,1440,45.7382,97.5705,38.6530,147.9181,6.7605
gdi,11,1,2002,1101,2618,1440,48.8861,96.5571,39.1423,149.5969,6.6846
gdi,12,1,2002,1101,2618,1440,44.7443,95.9264,38.7669,147.5630,6.7768
gdi,13,1,2002,1101,2618,1440,51.4019,94.7833,39.1079,152.9125,6.5397
gdi,14,1,2002,1101,2618,1440,46.7355,91.8915,35.8104,143.2025,6.9831
gdi,15,1,2002,1101,2618,1440,42.4008,97.2368,39.7296,144.0253,6.9432
gdi,16,1,2002,1101,2618,1440,44.2205,89.9682,38.9288,138.9968,7.1944
gdi,17,1,2002,1101,2618,1440,48.0591,95.3199,36.5947,148.4673,6.7355
gdi,18,1,2002,1101,2618,1440,43.7497,89.9092,36.1228,138.5914,7.2155
gdi,19,1,2002,1101,2618,1440,42.7293,95.0492,39.1859,142.8893,6.9984
gdi,20,1,2002,1101,2618,1440,50.3875,94.0777,37.4702,149.3008,6.6979
gdi,21,1,2002,1101,2618,1440,53.4223,91.1117,37.1340,150.9363,6.6253
gdi,22,1,2002,1101,2618,1440,50.5067,94.5910,38.0980,149.5771,6.6855
gdi,23,1,2002,1101,2618,1440,52.7174,88.0144,35.1156,147.3882,6.7848
gdi,24,1,2002,1101,2618,1440,53.1627,93.3100,38.0328,152.8432,6.5427
gdi,25,1,2002,1101,2618,1440,43.5698,90.7222,36.2813,139.2251,7.1826
gdi,26,1,2002,1101,2618,1440,43.3287,89.5612,39.3027,137.5979,7.2676
gdi,27,1,2002,1101,2618,1440,40.6255,89.3947,37.4972,133.9335,7.4664
gdi,28,1,2002,1101,2618,1440,39.0488,88.4815,38.9190,133.8436,7.4714
gdi,29,1,2002,1101,2618,1440,39.1021,87.6526,37.9582,131.4575,7.6070
pil,0,1,2002,1101,2618,1440,30.8883,78.7503,30.4728,114.1883,8.7575
pil,1,1,2002,1101,2618,1440,27.9166,73.7591,27.2092,106.2280,9.4137
pil,2,1,2002,1101,2618,1440,33.1556,74.1070,30.8103,112.6652,8.8759
